"target_id","comparator_id","outcome_id","analysis_id","target_min_days","target_p10_days","target_p25_days","target_median_days","target_p75_days","target_p90_days","target_max_days","comparator_min_days","comparator_p10_days","comparator_p25_days","comparator_median_days","comparator_p75_days","comparator_p90_days","comparator_max_days","database_id"
763,680,661,1,1,46,63,69,78,80,105,1,45,58,71,80,82,111,"HIRA"
763,680,662,1,1,47,63,69,78,80,105,1,44,58,71,80,82,111,"HIRA"
763,680,663,1,1,46.5,63,69,78,80,105,1,44,58,71,80,82,111,"HIRA"
763,680,681,1,1,46,63,69,78,80,105,1,45,58,71,80,82,111,"HIRA"
763,680,661,2,1,46,63,69,78,80,105,1,45,58,71,80,82,111,"HIRA"
763,680,662,2,1,47,63,69,78,80,105,1,44,58,71,80,82,111,"HIRA"
763,680,663,2,1,46.5,63,69,78,80,105,1,44,58,71,80,82,111,"HIRA"
763,680,681,2,1,46,63,69,78,80,105,1,45,58,71,80,82,111,"HIRA"
763,680,661,3,1,46,63,69,78,80,105,4,47,62,71,79,82,105,"HIRA"
763,680,662,3,1,47,63,69,78,80,105,1,46.2,62,71,79.2,82,105,"HIRA"
763,680,663,3,1,46.4,63,69,78,80,105,1,47,62,71,79.9,82,105,"HIRA"
763,680,681,3,1,46,63,69,78,80,105,1,46.6,62,71,79,82,105,"HIRA"
