"covariate_id","covariate_name","covariate_analysis_id","analysis_id","database_id"
17003,"age group: 85-89",3,1,"HIRA"
6003,"age group: 30-34",3,1,"HIRA"
9003,"age group: 45-49",3,1,"HIRA"
4003,"age group: 20-24",3,1,"HIRA"
12003,"age group: 60-64",3,1,"HIRA"
18003,"age group: 90-94",3,1,"HIRA"
15003,"age group: 75-79",3,1,"HIRA"
7003,"age group: 35-39",3,1,"HIRA"
16003,"age group: 80-84",3,1,"HIRA"
19003,"age group: 95-99",3,1,"HIRA"
10003,"age group: 50-54",3,1,"HIRA"
13003,"age group: 65-69",3,1,"HIRA"
5003,"age group: 25-29",3,1,"HIRA"
11003,"age group: 55-59",3,1,"HIRA"
8003,"age group: 40-44",3,1,"HIRA"
14003,"age group: 70-74",3,1,"HIRA"
8532001,"gender = FEMALE",1,1,"HIRA"
8507001,"gender = MALE",1,1,"HIRA"
1002,"age in years",2,1,"HIRA"
4154290202,"condition_era during day -365 through 0 days relative to index: Paroxysmal atrial fibrillation",202,1,"HIRA"
141323202,"condition_era during day -365 through 0 days relative to index: Acute maxillary sinusitis",202,1,"HIRA"
78804202,"condition_era during day -365 through 0 days relative to index: Fibrocystic disease of breast",202,1,"HIRA"
374349202,"condition_era during day -365 through 0 days relative to index: Corneal deformity",202,1,"HIRA"
36717183202,"condition_era during day -365 through 0 days relative to index: Internal hemorrhoids grade IV",202,1,"HIRA"
4153877202,"condition_era during day -365 through 0 days relative to index: Post-traumatic wound infection",202,1,"HIRA"
135340202,"condition_era during day -365 through 0 days relative to index: Pressure ulcer stage 3",202,1,"HIRA"
4056717202,"condition_era during day -365 through 0 days relative to index: Injury of muscle and tendon at hip and thigh level",202,1,"HIRA"
43531046202,"condition_era during day -365 through 0 days relative to index: Disorder of nerve root and/or plexus",202,1,"HIRA"
137626202,"condition_era during day -365 through 0 days relative to index: Seborrheic dermatitis of scalp",202,1,"HIRA"
4303233202,"condition_era during day -365 through 0 days relative to index: Gastric polyp",202,1,"HIRA"
4129404202,"condition_era during day -365 through 0 days relative to index: Open wound of upper arm",202,1,"HIRA"
433243202,"condition_era during day -365 through 0 days relative to index: Anomaly of tooth position",202,1,"HIRA"
4146239202,"condition_era during day -365 through 0 days relative to index: Pruritus of genital organs",202,1,"HIRA"
4134318202,"condition_era during day -365 through 0 days relative to index: Fractured nasal bones",202,1,"HIRA"
4196960202,"condition_era during day -365 through 0 days relative to index: Varicocele",202,1,"HIRA"
4120088202,"condition_era during day -365 through 0 days relative to index: Cardiac arrest with successful resuscitation",202,1,"HIRA"
4301700202,"condition_era during day -365 through 0 days relative to index: Acute mastoiditis",202,1,"HIRA"
138502202,"condition_era during day -365 through 0 days relative to index: Vitiligo",202,1,"HIRA"
4195865202,"condition_era during day -365 through 0 days relative to index: Obsessional thoughts",202,1,"HIRA"
46269791202,"condition_era during day -365 through 0 days relative to index: Allergic contact dermatitis caused by chemical",202,1,"HIRA"
4008574202,"condition_era during day -365 through 0 days relative to index: Noninfectious dermatosis of eyelid",202,1,"HIRA"
4105127202,"condition_era during day -365 through 0 days relative to index: Fracture of medial malleolus",202,1,"HIRA"
4157453202,"condition_era during day -365 through 0 days relative to index: Disorder of joint of spine",202,1,"HIRA"
201313202,"condition_era during day -365 through 0 days relative to index: Hypertensive renal disease",202,1,"HIRA"
75909202,"condition_era during day -365 through 0 days relative to index: Disorder of bone",202,1,"HIRA"
45757490202,"condition_era during day -365 through 0 days relative to index: Pregnancy not yet confirmed",202,1,"HIRA"
4127726202,"condition_era during day -365 through 0 days relative to index: Functional disorder of penis",202,1,"HIRA"
200219202,"condition_era during day -365 through 0 days relative to index: Abdominal pain",202,1,"HIRA"
433000202,"condition_era during day -365 through 0 days relative to index: Patellar tendonitis",202,1,"HIRA"
4241648202,"condition_era during day -365 through 0 days relative to index: Benign neoplasm of extrahepatic bile ducts",202,1,"HIRA"
4066472202,"condition_era during day -365 through 0 days relative to index: Irritant contact dermatitis due to drug in contact with skin",202,1,"HIRA"
381549202,"condition_era during day -365 through 0 days relative to index: Migraine with aura",202,1,"HIRA"
260427202,"condition_era during day -365 through 0 days relative to index: Common cold",202,1,"HIRA"
77734202,"condition_era during day -365 through 0 days relative to index: Contusion of lower leg",202,1,"HIRA"
4058225202,"condition_era during day -365 through 0 days relative to index: Multiple superficial injuries of forearm",202,1,"HIRA"
381281202,"condition_era during day -365 through 0 days relative to index: Degenerative progressive high myopia",202,1,"HIRA"
433316202,"condition_era during day -365 through 0 days relative to index: Dizziness and giddiness",202,1,"HIRA"
4286676202,"condition_era during day -365 through 0 days relative to index: Acquired deformity of rib",202,1,"HIRA"
137977202,"condition_era during day -365 through 0 days relative to index: Jaundice",202,1,"HIRA"
4269221202,"condition_era during day -365 through 0 days relative to index: Vulvitis",202,1,"HIRA"
4141360202,"condition_era during day -365 through 0 days relative to index: Chronic atrial fibrillation",202,1,"HIRA"
4047897202,"condition_era during day -365 through 0 days relative to index: Epilepsy with grand mal seizures on awakening",202,1,"HIRA"
201956202,"condition_era during day -365 through 0 days relative to index: Congenital anomaly of lower limb",202,1,"HIRA"
4028387202,"condition_era during day -365 through 0 days relative to index: Disorder of integument",202,1,"HIRA"
4012113202,"condition_era during day -365 through 0 days relative to index: Chronic viral hepatitis",202,1,"HIRA"
435127202,"condition_era during day -365 through 0 days relative to index: Late effect of intracranial injury without skull fracture",202,1,"HIRA"
4146103202,"condition_era during day -365 through 0 days relative to index: Degeneration of macula and posterior pole",202,1,"HIRA"
376208202,"condition_era during day -365 through 0 days relative to index: Disorder of soft tissue",202,1,"HIRA"
137053202,"condition_era during day -365 through 0 days relative to index: Seborrheic dermatitis",202,1,"HIRA"
4016540202,"condition_era during day -365 through 0 days relative to index: Focal brain injury",202,1,"HIRA"
75580202,"condition_era during day -365 through 0 days relative to index: Chronic ulcerative proctitis",202,1,"HIRA"
4102631202,"condition_era during day -365 through 0 days relative to index: Acute interstitial nephritis",202,1,"HIRA"
434056202,"condition_era during day -365 through 0 days relative to index: Late effects of cerebrovascular disease",202,1,"HIRA"
434714202,"condition_era during day -365 through 0 days relative to index: Prolonged second stage of labor",202,1,"HIRA"
4053589202,"condition_era during day -365 through 0 days relative to index: Traumatic dislocation of joint of finger",202,1,"HIRA"
200959202,"condition_era during day -365 through 0 days relative to index: Secondary malignant neoplasm of intrapelvic lymph nodes",202,1,"HIRA"
436587202,"condition_era during day -365 through 0 days relative to index: Toxic effect of gas, fumes AND/OR vapors",202,1,"HIRA"
443617202,"condition_era during day -365 through 0 days relative to index: Conduct disorder",202,1,"HIRA"
316437202,"condition_era during day -365 through 0 days relative to index: Cerebral atherosclerosis",202,1,"HIRA"
4137468202,"condition_era during day -365 through 0 days relative to index: Abscess of skin and/or subcutaneous tissue",202,1,"HIRA"
40492458202,"condition_era during day -365 through 0 days relative to index: Neoplasm of uncertain behavior of digestive organ",202,1,"HIRA"
321887202,"condition_era during day -365 through 0 days relative to index: Disorder of artery",202,1,"HIRA"
4070301202,"condition_era during day -365 through 0 days relative to index: Fracture of upper end of tibia",202,1,"HIRA"
80493202,"condition_era during day -365 through 0 days relative to index: Ankylosis of joint",202,1,"HIRA"
140823202,"condition_era during day -365 through 0 days relative to index: Acquired musculoskeletal deformity",202,1,"HIRA"
4182983202,"condition_era during day -365 through 0 days relative to index: Gingival enlargement",202,1,"HIRA"
73366202,"condition_era during day -365 through 0 days relative to index: Crushing injury of lower leg",202,1,"HIRA"
435613202,"condition_era during day -365 through 0 days relative to index: Cellulitis",202,1,"HIRA"
375551202,"condition_era during day -365 through 0 days relative to index: Blepharochalasis",202,1,"HIRA"
4100247202,"condition_era during day -365 through 0 days relative to index: Organic psychotic condition",202,1,"HIRA"
4099178202,"condition_era during day -365 through 0 days relative to index: Atrophoderma vermiculatum",202,1,"HIRA"
312934202,"condition_era during day -365 through 0 days relative to index: Atherosclerosis of aorta",202,1,"HIRA"
433595202,"condition_era during day -365 through 0 days relative to index: Edema",202,1,"HIRA"
4103653202,"condition_era during day -365 through 0 days relative to index: Infective conjunctivitis",202,1,"HIRA"
433740202,"condition_era during day -365 through 0 days relative to index: Immunodeficiency disorder",202,1,"HIRA"
135618202,"condition_era during day -365 through 0 days relative to index: Pruritic rash",202,1,"HIRA"
4093145202,"condition_era during day -365 through 0 days relative to index: Anogenital herpesviral infection",202,1,"HIRA"
4001336202,"condition_era during day -365 through 0 days relative to index: Concussion injury of brain",202,1,"HIRA"
4318699202,"condition_era during day -365 through 0 days relative to index: Disorder of lacrimal gland",202,1,"HIRA"
4311499202,"condition_era during day -365 through 0 days relative to index: Primary malignant neoplasm of respiratory tract",202,1,"HIRA"
140362202,"condition_era during day -365 through 0 days relative to index: Hypoparathyroidism",202,1,"HIRA"
197237202,"condition_era during day -365 through 0 days relative to index: Benign neoplasm of prostate",202,1,"HIRA"
192956202,"condition_era during day -365 through 0 days relative to index: Cholecystitis",202,1,"HIRA"
40483171202,"condition_era during day -365 through 0 days relative to index: Ulcer of anorectal structure",202,1,"HIRA"
4170770202,"condition_era during day -365 through 0 days relative to index: Epidermoid cyst",202,1,"HIRA"
4308093202,"condition_era during day -365 through 0 days relative to index: Dupuytren's disease of palm",202,1,"HIRA"
80494202,"condition_era during day -365 through 0 days relative to index: Arthropathy associated with another disorder",202,1,"HIRA"
4216188202,"condition_era during day -365 through 0 days relative to index: Nummular eczema",202,1,"HIRA"
437584202,"condition_era during day -365 through 0 days relative to index: Ataxia",202,1,"HIRA"
436635202,"condition_era during day -365 through 0 days relative to index: Primary malignant neoplasm of sigmoid colon",202,1,"HIRA"
257007202,"condition_era during day -365 through 0 days relative to index: Allergic rhinitis",202,1,"HIRA"
381316202,"condition_era during day -365 through 0 days relative to index: Cerebrovascular accident",202,1,"HIRA"
4055511202,"condition_era during day -365 through 0 days relative to index: Gingival and edentulous alveolar ridge lesion associated with trauma",202,1,"HIRA"
313543202,"condition_era during day -365 through 0 days relative to index: Venous complication of pregnancy and/or the puerperium",202,1,"HIRA"
442108202,"condition_era during day -365 through 0 days relative to index: Benign neoplasm of cecum",202,1,"HIRA"
44784217202,"condition_era during day -365 through 0 days relative to index: Cardiac arrhythmia",202,1,"HIRA"
138148202,"condition_era during day -365 through 0 days relative to index: Plantar nerve lesion",202,1,"HIRA"
4310964202,"condition_era during day -365 through 0 days relative to index: Hypostatic pneumonia",202,1,"HIRA"
377910202,"condition_era during day -365 through 0 days relative to index: Deviated nasal septum",202,1,"HIRA"
433229202,"condition_era during day -365 through 0 days relative to index: Ankylosis of tooth",202,1,"HIRA"
4275423202,"condition_era during day -365 through 0 days relative to index: Supraventricular tachycardia",202,1,"HIRA"
374042202,"condition_era during day -365 through 0 days relative to index: Interstitial and deep keratitis",202,1,"HIRA"
437827202,"condition_era during day -365 through 0 days relative to index: Pure hypercholesterolemia",202,1,"HIRA"
139850202,"condition_era during day -365 through 0 days relative to index: Acute frontal sinusitis",202,1,"HIRA"
42537304202,"condition_era during day -365 through 0 days relative to index: Hydronephrosis co-occurrent and due to calculus of kidney and ureter",202,1,"HIRA"
4167097202,"condition_era during day -365 through 0 days relative to index: Spondylolisthesis",202,1,"HIRA"
4115282202,"condition_era during day -365 through 0 days relative to index: Trichilemmal cyst",202,1,"HIRA"
4335169202,"condition_era during day -365 through 0 days relative to index: Acute transient psychotic disorder",202,1,"HIRA"
197675202,"condition_era during day -365 through 0 days relative to index: Incontinence of feces",202,1,"HIRA"
4286201202,"condition_era during day -365 through 0 days relative to index: Schizoaffective disorder",202,1,"HIRA"
380513202,"condition_era during day -365 through 0 days relative to index: Congenital cataract",202,1,"HIRA"
4264234202,"condition_era during day -365 through 0 days relative to index: Chloasma",202,1,"HIRA"
439846202,"condition_era during day -365 through 0 days relative to index: Left heart failure",202,1,"HIRA"
434008202,"condition_era during day -365 through 0 days relative to index: White blood cell disorder",202,1,"HIRA"
436659202,"condition_era during day -365 through 0 days relative to index: Iron deficiency anemia",202,1,"HIRA"
137345202,"condition_era during day -365 through 0 days relative to index: Pressure ulcer stage 4",202,1,"HIRA"
198964202,"condition_era during day -365 through 0 days relative to index: Chronic hepatitis C",202,1,"HIRA"
4141481202,"condition_era during day -365 through 0 days relative to index: Enteroviral vesicular stomatitis with exanthem",202,1,"HIRA"
435784202,"condition_era during day -365 through 0 days relative to index: Somatoform disorder",202,1,"HIRA"
432791202,"condition_era during day -365 through 0 days relative to index: Angioedema",202,1,"HIRA"
4059258202,"condition_era during day -365 through 0 days relative to index: Injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level",202,1,"HIRA"
378421202,"condition_era during day -365 through 0 days relative to index: Alcoholic polyneuropathy",202,1,"HIRA"
4026125202,"condition_era during day -365 through 0 days relative to index: Chronic active hepatitis",202,1,"HIRA"
81175202,"condition_era during day -365 through 0 days relative to index: Contusion of chest",202,1,"HIRA"
315586202,"condition_era during day -365 through 0 days relative to index: Priapism",202,1,"HIRA"
4147660202,"condition_era during day -365 through 0 days relative to index: Postural kyphosis",202,1,"HIRA"
4001458202,"condition_era during day -365 through 0 days relative to index: Fatigue fracture of vertebra",202,1,"HIRA"
201519202,"condition_era during day -365 through 0 days relative to index: Primary malignant neoplasm of liver",202,1,"HIRA"
134718202,"condition_era during day -365 through 0 days relative to index: Hirsutism",202,1,"HIRA"
441500202,"condition_era during day -365 through 0 days relative to index: Bacterial food poisoning",202,1,"HIRA"
253796202,"condition_era during day -365 through 0 days relative to index: Pneumothorax",202,1,"HIRA"
4051740202,"condition_era during day -365 through 0 days relative to index: Multiple superficial injuries of ankle and foot",202,1,"HIRA"
4059257202,"condition_era during day -365 through 0 days relative to index: Injury of muscle and tendon at lower leg level",202,1,"HIRA"
4049120202,"condition_era during day -365 through 0 days relative to index: Abscess of bursa",202,1,"HIRA"
4043672202,"condition_era during day -365 through 0 days relative to index: Injury of nerve of upper extremity",202,1,"HIRA"
197925202,"condition_era during day -365 through 0 days relative to index: Hemorrhage of rectum and anus",202,1,"HIRA"
439708202,"condition_era during day -365 through 0 days relative to index: Disorders of initiating and maintaining sleep",202,1,"HIRA"
40400344202,"condition_era during day -365 through 0 days relative to index: Acquired pes planus",202,1,"HIRA"
4290976202,"condition_era during day -365 through 0 days relative to index: Temporal arteritis",202,1,"HIRA"
377845202,"condition_era during day -365 through 0 days relative to index: Anoxic encephalopathy",202,1,"HIRA"
138690202,"condition_era during day -365 through 0 days relative to index: Infestation by Pediculus",202,1,"HIRA"
441946202,"condition_era during day -365 through 0 days relative to index: Calcific tendinitis of shoulder",202,1,"HIRA"
319826202,"condition_era during day -365 through 0 days relative to index: Secondary hypertension",202,1,"HIRA"
192963202,"condition_era during day -365 through 0 days relative to index: Disorder of pancreas",202,1,"HIRA"
443454202,"condition_era during day -365 through 0 days relative to index: Cerebral infarction",202,1,"HIRA"
135333202,"condition_era during day -365 through 0 days relative to index: Pressure ulcer",202,1,"HIRA"
256723202,"condition_era during day -365 through 0 days relative to index: Pneumonia and influenza",202,1,"HIRA"
4058243202,"condition_era during day -365 through 0 days relative to index: Diabetes mellitus during pregnancy, childbirth and the puerperium",202,1,"HIRA"
4048805202,"condition_era during day -365 through 0 days relative to index: Non-diabetic hypoglycemic coma",202,1,"HIRA"
255848202,"condition_era during day -365 through 0 days relative to index: Pneumonia",202,1,"HIRA"
4133194202,"condition_era during day -365 through 0 days relative to index: Fracture of distal end of tibia",202,1,"HIRA"
4241033202,"condition_era during day -365 through 0 days relative to index: Acute abdomen",202,1,"HIRA"
4134605202,"condition_era during day -365 through 0 days relative to index: Optic disc disorder",202,1,"HIRA"
193693202,"condition_era during day -365 through 0 days relative to index: Viral hepatitis without hepatic coma",202,1,"HIRA"
4129155202,"condition_era during day -365 through 0 days relative to index: Vaginal bleeding",202,1,"HIRA"
434575202,"condition_era during day -365 through 0 days relative to index: Spotted fevers",202,1,"HIRA"
440268202,"condition_era during day -365 through 0 days relative to index: Toxic effect of carbon monoxide",202,1,"HIRA"
4154163202,"condition_era during day -365 through 0 days relative to index: Jaw injury",202,1,"HIRA"
74809202,"condition_era during day -365 through 0 days relative to index: Crushing injury of hand",202,1,"HIRA"
197610202,"condition_era during day -365 through 0 days relative to index: Cyst of ovary",202,1,"HIRA"
4012753202,"condition_era during day -365 through 0 days relative to index: Tear of articular cartilage of knee, current",202,1,"HIRA"
4132926202,"condition_era during day -365 through 0 days relative to index: Pain finding at anatomical site",202,1,"HIRA"
