"database_id","target_id","comparator_id","outcome_id","analysis_id","interaction_covariate_id","covariate_id","target_mean_before","comparator_mean_before","std_diff_before","target_mean_after","comparator_mean_after","std_diff_after"
"HIRA",763,680,661,1,NA,440921210,0.475,0.351,0.254,0.332,0.375,-0.089
"HIRA",763,680,661,1,NA,4103192210,0.015,0.06,-0.24,0.023,0.057,-0.174
"HIRA",763,680,661,1,NA,4329847210,0.015,0.06,-0.24,0.023,0.057,-0.174
"HIRA",763,680,661,1,NA,4354249210,0.015,0.06,-0.24,0.023,0.057,-0.174
"HIRA",763,680,661,1,NA,4239975210,0.018,0.063,-0.234,0.027,0.06,-0.162
"HIRA",763,680,661,1,NA,319844210,0.015,0.059,-0.233,0.023,0.055,-0.168
"HIRA",763,680,661,1,NA,312327210,0.015,0.058,-0.232,0.023,0.055,-0.166
"HIRA",763,680,661,1,NA,4178818210,0.995,0.962,0.229,0.99,0.965,0.17
"HIRA",763,680,661,1,NA,312327202,0.015,0.056,-0.222,0.023,0.053,-0.155
"HIRA",763,680,661,1,NA,201340210,0.892,0.814,0.221,0.808,0.826,-0.048
"HIRA",763,680,661,1,NA,36683564210,0.779,0.683,0.218,0.698,0.701,-0.005
"HIRA",763,680,661,1,NA,4095850210,0.166,0.094,0.214,0.107,0.103,0.013
"HIRA",763,680,661,1,NA,42537893210,0.166,0.094,0.214,0.107,0.103,0.013
"HIRA",763,680,661,1,NA,37016775210,0.166,0.095,0.212,0.107,0.104,0.011
"HIRA",763,680,661,1,NA,4181063210,0.992,0.961,0.211,0.986,0.964,0.143
"HIRA",763,680,661,1,NA,73553210,0.47,0.367,0.21,0.358,0.385,-0.056
"HIRA",763,680,661,1,NA,433596202,0.131,0.068,0.21,0.087,0.074,0.046
"HIRA",763,680,661,1,NA,4094343202,0.281,0.195,0.205,0.188,0.21,-0.056
"HIRA",763,680,661,1,NA,4094343210,0.281,0.195,0.204,0.188,0.211,-0.057
"HIRA",763,680,661,1,NA,4301699210,0.219,0.141,0.204,0.145,0.152,-0.018
"HIRA",763,680,661,1,NA,4134294210,0.812,0.726,0.203,0.738,0.741,-0.007
"HIRA",763,680,661,1,NA,4132088210,0.025,0.067,-0.2,0.032,0.063,-0.147
"HIRA",763,680,661,1,NA,4320791210,0.709,0.614,0.2,0.639,0.631,0.015
"HIRA",763,680,661,1,NA,4181064210,0.133,0.073,0.198,0.086,0.079,0.025
"HIRA",763,680,661,1,NA,257007210,0.698,0.608,0.192,0.63,0.624,0.012
"HIRA",763,680,661,1,NA,4223595210,0.698,0.608,0.192,0.63,0.624,0.012
"HIRA",763,680,661,1,NA,4223759210,0.698,0.608,0.192,0.63,0.624,0.012
"HIRA",763,680,661,1,NA,444187210,0.095,0.048,0.184,0.063,0.051,0.049
"HIRA",763,680,661,1,NA,432661210,0.784,0.704,0.183,0.705,0.72,-0.031
"HIRA",763,680,661,1,NA,257007202,0.676,0.588,0.183,0.612,0.604,0.018
"HIRA",763,680,661,1,NA,4117779210,0.196,0.13,0.18,0.131,0.14,-0.026
"HIRA",763,680,661,1,NA,138525210,0.133,0.078,0.179,0.09,0.083,0.026
"HIRA",763,680,661,1,NA,4181187210,0.872,0.807,0.178,0.825,0.818,0.019
"HIRA",763,680,661,1,NA,4216397202,0.121,0.07,0.174,0.077,0.076,0.003
"HIRA",763,680,661,1,NA,194133210,0.294,0.219,0.173,0.227,0.229,-0.004
"HIRA",763,680,661,1,NA,4216397210,0.121,0.07,0.172,0.077,0.076,0.001
"HIRA",763,680,661,1,NA,4225273210,0.276,0.205,0.168,0.207,0.214,-0.018
"HIRA",763,680,661,1,NA,201340202,0.769,0.695,0.167,0.687,0.708,-0.046
"HIRA",763,680,661,1,NA,4216185210,0.045,0.016,0.167,0.031,0.018,0.084
"HIRA",763,680,661,1,NA,4276360210,0.038,0.076,-0.166,0.045,0.075,-0.126
"HIRA",763,680,661,1,NA,75344202,0.095,0.052,0.165,0.064,0.057,0.028
"HIRA",763,680,661,1,NA,4006969210,0.766,0.694,0.164,0.693,0.708,-0.031
"HIRA",763,680,661,1,NA,260139210,0.608,0.527,0.164,0.529,0.541,-0.024
"HIRA",763,680,661,1,NA,4291025202,0.138,0.087,0.162,0.095,0.092,0.012
"HIRA",763,680,661,1,NA,260139202,0.606,0.526,0.161,0.528,0.54,-0.024
"HIRA",763,680,661,1,NA,4167096210,0.048,0.019,0.16,0.03,0.021,0.06
"HIRA",763,680,661,1,NA,4055224202,0.005,0.024,-0.16,0.005,0.024,-0.166
"HIRA",763,680,661,1,NA,4225273202,0.224,0.161,0.159,0.165,0.169,-0.011
"HIRA",763,680,661,1,NA,4208786210,0.224,0.162,0.158,0.156,0.172,-0.042
"HIRA",763,680,661,1,NA,134736210,0.314,0.244,0.157,0.255,0.255,-0.001
"HIRA",763,680,661,1,NA,261326202,0.126,0.181,-0.155,0.168,0.176,-0.021
"HIRA",763,680,661,1,NA,261326210,0.126,0.181,-0.155,0.168,0.176,-0.021
"HIRA",763,680,661,1,NA,4207187210,0.126,0.181,-0.155,0.168,0.176,-0.021
"HIRA",763,680,661,1,NA,317009210,0.173,0.119,0.155,0.142,0.124,0.055
"HIRA",763,680,661,1,NA,439674202,0.008,0.028,-0.155,0.009,0.028,-0.142
"HIRA",763,680,661,1,NA,439674210,0.008,0.028,-0.155,0.009,0.028,-0.142
"HIRA",763,680,661,1,NA,4010333202,0.065,0.032,0.155,0.059,0.034,0.121
"HIRA",763,680,661,1,NA,80824210,0.068,0.034,0.153,0.063,0.036,0.125
"HIRA",763,680,661,1,NA,4010333210,0.068,0.034,0.153,0.063,0.036,0.125
"HIRA",763,680,661,1,NA,4173335210,0.068,0.034,0.153,0.063,0.036,0.125
"HIRA",763,680,661,1,NA,4079750210,0.111,0.067,0.153,0.081,0.07,0.043
"HIRA",763,680,661,1,NA,4137275210,0.04,0.015,0.153,0.034,0.016,0.113
"HIRA",763,680,661,1,NA,4323893210,0.048,0.02,0.152,0.031,0.022,0.056
"HIRA",763,680,661,1,NA,194133202,0.269,0.205,0.151,0.208,0.214,-0.015
"HIRA",763,680,661,1,NA,435227210,0.043,0.079,-0.151,0.05,0.077,-0.113
"HIRA",763,680,661,1,NA,4185976210,0.113,0.07,0.151,0.072,0.077,-0.016
"HIRA",763,680,661,1,NA,4023317210,0.065,0.033,0.15,0.042,0.035,0.036
"HIRA",763,680,661,1,NA,4102562210,0.003,0.017,-0.15,0.001,0.018,-0.172
"HIRA",763,680,661,1,NA,4095852202,0.108,0.066,0.15,0.067,0.073,-0.021
"HIRA",763,680,661,1,NA,4029816210,0.04,0.016,0.149,0.034,0.016,0.11
"HIRA",763,680,661,1,NA,317009202,0.138,0.091,0.149,0.117,0.095,0.073
"HIRA",763,680,661,1,NA,4096315202,0.06,0.03,0.149,0.037,0.032,0.026
"HIRA",763,680,661,1,NA,442752202,0.389,0.319,0.148,0.333,0.329,0.009
"HIRA",763,680,661,1,NA,4029269210,0.033,0.064,-0.148,0.037,0.064,-0.125
"HIRA",763,680,661,1,NA,373852210,0.106,0.065,0.147,0.083,0.069,0.053
"HIRA",763,680,661,1,NA,80180210,0.183,0.13,0.147,0.13,0.137,-0.02
"HIRA",763,680,661,1,NA,436658210,0.03,0.06,-0.146,0.035,0.06,-0.115
"HIRA",763,680,661,1,NA,81379202,0.043,0.018,0.146,0.028,0.02,0.053
"HIRA",763,680,661,1,NA,81379210,0.043,0.018,0.146,0.028,0.02,0.053
"HIRA",763,680,661,1,NA,4184090210,0.043,0.018,0.146,0.028,0.02,0.053
"HIRA",763,680,661,1,NA,4205509210,0.043,0.018,0.146,0.028,0.02,0.053
"HIRA",763,680,661,1,NA,4217894210,0.043,0.018,0.146,0.028,0.02,0.053
"HIRA",763,680,661,1,NA,4312492210,0.043,0.018,0.146,0.028,0.02,0.053
"HIRA",763,680,661,1,NA,255848210,0.276,0.344,-0.146,0.352,0.335,0.036
"HIRA",763,680,661,1,NA,4318404210,0.276,0.344,-0.146,0.352,0.335,0.036
"HIRA",763,680,661,1,NA,4178680210,0.188,0.135,0.146,0.133,0.142,-0.027
"HIRA",763,680,661,1,NA,441737210,0.085,0.049,0.146,0.059,0.053,0.027
"HIRA",763,680,661,1,NA,442752210,0.389,0.321,0.144,0.333,0.331,0.005
"HIRA",763,680,661,1,NA,4242411210,0.045,0.02,0.143,0.041,0.02,0.121
"HIRA",763,680,661,1,NA,378425202,0.113,0.072,0.143,0.1,0.074,0.092
"HIRA",763,680,661,1,NA,378425210,0.113,0.072,0.143,0.1,0.074,0.092
"HIRA",763,680,661,1,NA,75576202,0.116,0.074,0.142,0.103,0.077,0.091
"HIRA",763,680,661,1,NA,378253202,0.138,0.191,-0.142,0.171,0.186,-0.039
"HIRA",763,680,661,1,NA,378253210,0.138,0.191,-0.142,0.171,0.186,-0.039
"HIRA",763,680,661,1,NA,436230202,0.028,0.009,0.14,0.028,0.009,0.138
"HIRA",763,680,661,1,NA,436230210,0.028,0.009,0.14,0.028,0.009,0.138
"HIRA",763,680,661,1,NA,73842210,0.045,0.02,0.14,0.029,0.022,0.042
"HIRA",763,680,661,1,NA,4231746210,0.045,0.02,0.14,0.029,0.022,0.042
"HIRA",763,680,661,1,NA,4249170210,0.045,0.02,0.14,0.029,0.022,0.042
"HIRA",763,680,661,1,NA,138525202,0.08,0.047,0.139,0.053,0.048,0.02
"HIRA",763,680,661,1,NA,75053210,0.088,0.053,0.137,0.066,0.056,0.042
"HIRA",763,680,661,1,NA,4154739210,0.088,0.053,0.137,0.066,0.056,0.042
"HIRA",763,680,661,1,NA,45757697210,0.035,0.014,0.137,0.026,0.015,0.083
"HIRA",763,680,661,1,NA,4329041210,0.784,0.725,0.137,0.711,0.735,-0.053
"HIRA",763,680,661,1,NA,4190185210,0.942,0.907,0.135,0.894,0.914,-0.068
"HIRA",763,680,661,1,NA,374643202,0.106,0.068,0.135,0.099,0.069,0.108
"HIRA",763,680,661,1,NA,374643210,0.106,0.068,0.135,0.099,0.069,0.108
"HIRA",763,680,661,1,NA,73649202,0.018,0.004,0.134,0.011,0.004,0.08
"HIRA",763,680,661,1,NA,73649210,0.018,0.004,0.134,0.011,0.004,0.08
